nom;ville
CV éphémère Jargeau;Jargeau
Hôtel de Ville de Marseille;Marseille
Ratier-Figeac  ;Figeac
Centre de vaccination de l'hôpital de Die;Die
Hôtel Dieu;Paris
LARIBOISIERE AP-HP;Paris
CHSSM-Site de Nemours;Nemours
Centre de vaccination mobile- Bus vaccinal Pas-de-Calais;ARRAS
Centre de vaccination Molsheim ;Molsheim
Centre de vaccination intercommunal de Sarrebourg (gymnase COSEC);Sarrebourg
Centre de Vaccination Montargis;Montargis
RENNES - CHU Pontchaillou (enfants);Rennes
Centre de vaccination de Janville - Gymnase Michel Denise;Janville-en-Beauce
UHSI TOULOUSE;Toulouse
Centre de vaccination de Ruelle sur Touvre;Ruelle-sur-Touvre
UHSA LYON (Simone Veil);Bron
SAINT-ANTOINE AP-HP;Paris
CHSSM-Site de Fontainebleau;Fontainebleau
22-Grand centre de vaccination (fictif);Saint-Brieuc
EMV Saint-Denis Auberge Municipale;Saint-Denis
Centre de vaccination de Sain Bel   ;Sain-Bel
Centre d'Arbois - espace Pasteur;Arbois
Centre de Vaccination Salle Bérégovoy  VRIGNE-AUX-BOIS;Vrigne aux Bois
CH Verneuil;Verneuil d'Avre et d'Iton
Hôpital Salpêtrière;Paris
CHSSM-Site CH Montereau Fault Yonne;Montereau-Fault-Yonne
Centre de vaccination - AVRILLE;Avrillé
Grand Centre de vaccination de Vendôme;Vendôme
Communauté Professionnelle Territoriale de Santé Nord Allier;Moulins
Trousseau;Paris
Centre de vaccination du Tonnerrois;Tonnerre
Centre de vaccination de Saint-Martin (CRF);SAINT MARTIN
DOUARNENEZ - CH (réservé PS);Douarnenez
Centre de Vaccination de NOUZONVILLE (Salle des fêtes de Roger Maillard);Nouzonville
EMV Carnelle Pays-de-France;Luzarches
Barnum du Plessis-Trévise 1;Le Plessis-Trévise
MSP ASFELD;Asfeld
Centre de vaccination - Service médical de l'OFII;Bordeaux
Centre de vaccination de Serres Castets Luys en Béarn;Montardon
Centre de vaccination de Moirans;Moirans-en-Montagne
Centre de vaccination du Gymnase Teisseire (BMPM);Marseille
Grand centre de vaccination - Olivet - Centre sportif du Larry;Olivet
SEURRE maison de santé pluriprofessionnelle ;Seurre
Centre de vaccination - Commune de Pont Sainte Maxence,  salle claude monnet;Pont-Sainte-Maxence
Vaccinobus du Var;Toulon
Centre de Vaccination - BLAIN - Salle des fêtes;Blain
Bichat;Paris
"Val de Reuil Salle de ""la Détente""";Val-de-Reuil
EMV Salle Olympe de Gouges;Paris
Centre Espace Culturel René Monory;Loudun
Centre de Vaccination éphémère MORET LOING ORVANNE;Moret-Loing-et-Orvanne
Centre grande capacité de Montauban;Montauban
Nozay CVA;Nozay
"Centre de vaccination - réservé professionnels de santé et assimilés"" - CH Chartres";Le Coudray
CP - US Meaux Chauconin-Neufmontiers / Centre Pénitentiaire de Meaux-Chauconin-Neufmontiers;Chauconin-Neufmontiers
CH Châteauroux / Pôle de soins de suite et réadaptation ;Châteauroux
CH Pont Audemer;Pont-Audemer
Centre de Vaccination - LE MANS- UC-IRSA;Le Mans
Equipe Mobile CD;Nanterre
HU de Tenon (Centre Covisan 20);Paris
Barnum de Villiers sur Marne 1;Villiers-sur-Marne
Pussay-PEPS équipe mobile;Pussay
Centre Intercommunal des Portes de l'Ile de France à Bonnières-sur-Seine;Bonnières-sur-Seine
CH Ambroise PARE;Boulogne-Billancourt
Centre de vaccination de Persan;Persan
EPM - US de Porcheville / Etablissement spécialisé pour mineurs de Porcheville;Porcheville
SAINT-LOUIS AP-HP;Paris
Centre de vaccination éphémère de Sainte-Anne;Sainte-Anne
CH Antoine Béclère;Clamart
Centre de Vaccination éphémère Base de loisirs de Jabelines-Annet;Jablines
Centre de Vaccination éphémère de MITRY-MORY (AP-HP);Mitry-Mory
Centre de vaccination réservé professionnels de santé et assimilés - CH Châteaudun;Châteaudun
centre de vaccination de la CPAM 16;Angoulême
Bourges Vaccinodrome;Bourges
EMV Aubervilliers;Aubervilliers
Centre de vaccination de ROCROI (gymnase);Rocroi
Centre de vaccination - Commune Le Touquet-Paris-Plage, Salle des Quatre Saisons Le Touquet;Le Touquet-Paris-Plage
MUSSP Chenôve;Chenôve
Centre de vaccination éphémère - FedEx Roissy;Roissy-en-France
EMV Est;Goussainville
Centre de Vaccination éphémère Ile de loisirs de Bois-le-roi;Chartrettes
Pharmacie Aeroport Nice - Terminal 2;Nice
RENNES - Grand centre stade Robert Poirier;Rennes
ROBERT DEBRE Centre de vaccination;Paris
Centre de vaccination de Lavaur - Centre Hospitalier;Lavaur
Centre de vaccination Portes du Périgord (La Rochefoucauld/Montbron/Chazelles);La Rochefoucauld-en-Angoumois
Centre de Vaccination ROISSY-EN-BRIE ;Roissy-en-Brie
CD94 Créteil Pyramide;Créteil
ANNECY BONLIEU - Salle Eugène Verdun;Annecy
GHU Henri Mondor;Créteil
Maison de quartier de Titoulit;La Possession
Centre de vaccination - BRISSAC - Complexe Sportif;Brissac Loire Aubance
Moustiers-Sainte-Marie - Centre éphémère;Moustiers-Sainte-Marie
GHNE;Longjumeau
Maison de quartier de Moulin Joli ;La Possession
EMV Groupe SOS Solidarité (Pressensé);Saint-Denis
ARNAY-LE-DUC Salle Saint-Laurent;Arnay-le-Duc
GHU Paris - Site Pierre Bayle;Paris
LORMES;Lormes
Maison de quartier de Dos d’Âne;La Possession
Centre de Vaccination éphémère BASE DE LOISIRS BUTHIER ;Buthiers
Clinique du Parc;Saint-Priest-en-Jarez
Pôle de santé Arles;Arles
Centre Hospitalier Charles Foix;Ivry-sur-Seine
Centre Hospitalier Paul Brousse;Villejuif
Relai ambulatoire Beaume-Drobie;Joyeuse
AIGNAY-LE-DUC salle Roidot;Aignay-le-Duc
Centre Hospitalier de Mayotte;Mamoudzou
Centre hospitalier Alpes Léman;Contamine-sur-Arve
Lieu de vaccination de DIEUE SUR MEUSE;Dieue-sur-Meuse
Relai ambulatoire de Félines;Félines
Centre de vaccination éphémère de la Ferté sous jouarre ;La Ferté-sous-Jouarre
ST-GREGOIRE - Brocéliande;Saint-Grégoire
Centre de vaccination éphémère  de Nandy ;Nandy
Palaiseau CVA;Palaiseau
Grand centre état d'Evreux;Évreux
Palais des Victoires;Cannes
Centre de Vaccination - Ville de Saint-Valéry-Sur-Somme, Entrepôt des sel;Saint-Valery-sur-Somme
Centre de vaccination éphémère de Saint-Lubin des Joncherets;Saint-Lubin-des-Joncherets
Centre de soins Portes Ouverte (CPO) - Tours;Tours
Centre de vaccination éphémère de La Chapelle Vendômoise;La Chapelle-Vendômoise
PAIMPOL - CH (réservé PS);Paimpol
Centre de vaccination Miribel Côtière - Théâtre Allégro;Miribel
Lieu de vaccination de VIGNEULLES (Maison de santé);Vigneulles-lès-Hattonchâtel
EMV Mairie du 15e;Paris
Centre de vaccination Polygone Riviera (sans rdv);Cagnes-sur-Mer
SAINT-BRIEUC - Centre éphémère Beaufeuillage 1 (accès PMR);Saint-Brieuc
Centre de vaccination du SDIS - Bassin de Bressuire;Moncoutant-sur-Sèvre
CH EXCIDEUIL;Excideuil
CH des 4 Villes;Saint-Cloud
Centre de vaccination Cherbourg-en-Cotentin : Salle Montecot (Octeville);Cherbourg-en-Cotentin
Centre de vaccination éphémère de Sainte-François;Saint-François
Centre de vaccination Diderot;Nîmes
Très Grand Centre de vaccination départemental (Jouy-le-Moutier) – Sapeurs-Pompiers du Val d’Oise;Jouy-le-Moutier
Centre de vaccination de Saint-Lô : Salle Allende;Saint-Lô
CDV31 Boulogne sur Gesse;Boulogne-sur-Gesse
Espace Nelson Mandela - Saint Germain Du Puy Centre éphémère;Saint-Germain-du-Puy
CH de Beaujon;Clichy
Evry CVAE Montesquieu/Brassens;Évry-Courcouronnes
GUINGAMP - Centre de santé (réservé PS);Pabu
Centre de vaccination du CH Sud Gironde - LANGON;Langon
La Halle RISCLE;Riscle
Centre de vaccination - réservé professionnels de santé et assimilés - CH Nogent-le-Rotrou;Nogent-le-Rotrou
Centre de vaccination éphémère de Pointe-Noire;Pointe-Noire
LANDERNEAU - Bois Noir (ancien bricomarché);Landerneau
EMV Mairie Paris Centre;Paris
Lieu de vaccination de Pierrefitte-sur-Aire;Pierrefitte-sur-Aire
Centre de Vaccination - Ville de Flixecourt, Salle Le Chiffon Rouge;Flixecourt
SAINT-BRIEUC - Centre éphémère Beaufeuillage 2 (sans accès PMR);Saint-Brieuc
Ne plus utiliser - EHPAD de La Madeleine;Bergerac
CDV31 Saint Jory;Saint-Jory
CPTS Grand Avignon - Château de la Barbière;Avignon
CV éphémère Coullons;Coullons
Centre de vaccination du Carmausin - Salle François Mitterand;Carmaux
Centre de vaccination éphémère Cambuston Saint-André;Saint-André
CPTS DU CABARDES;Cuxac-Cabardès
Centre de vaccination de Valdahon;Valdahon
EMV Mairie du 5ème - Centre COVISAN 5;Paris
Centre de vaccination éphémère  de Guignes;Guignes
Centre de vaccination de l'Albigeois - Parc des Expositions;Le Séquestre
ARS Mayotte;Mamoudzou
Salle des fêtes Saint Gaultier / CPTS Val de Creuse;Saint-Gaultier
CV éphémère Chatillon-Coligny;Châtillon-Coligny
Lieu de vaccination d'ANCERVILLE;Ancerville
Centre de vaccination de St Satur - Centre socio-culturel Guy Poubeau;Saint-Satur
Centre de vaccination -Hôpital Lyon sud - HCL;Pierre-Bénite
DINAN - CH (réservé enfants à risque de forme grave);Dinan
Centre de vaccination éphémère Cressonnière Saint-André;Saint-André
Equipe Mobile de Vaccination ( MLAC ) EMD ;Melun
EMV Maire du 6ème;Paris
Arnay-le-Duc salle Saint Laurent;Arnay-le-Duc
VACCINATION A DOMICILE Collectif infirmier du Bassin du Biterrois;Béziers
EMV Mairie 8ème arrondissement;Paris
CDV31 Lespinasse;Lespinasse
Centre de vaccination d'Ustaritz Lapurdi;Ustaritz
CPTS Sud Hurepoix;Évry-Courcouronnes
Pôle économique et culturel CAZAUBON;Cazaubon
CV Saint-Denis-en-Val;Saint-Denis-en-Val
EMV CV7e - Gymnase Camou;Paris
MSP Labastide Murat;Cœur de Causse
Sellommes Centre éphémère;Selommes
EMV - LAO Croix-Rouge ;Taverny
PONTIVY - Parc des Expositions (Halle Safire);Pontivy
Centre de vaccination de Verdun (Salle Cassin) (Equipe mixte CH/médecine de ville);Verdun
Centre de vaccination du conseil départemental ;Cergy
Centre de vaccination Ephémère de Baugy;Baugy
centre de vaccination de Bram ;Bram
EMV Mairie du 9ème arrondissement;Paris
Grand centre 58;Nevers
Centre le Cadran;Évreux
Centre de Vaccination - Mairie annexe de la Pointe de Contes;Contes
Relai ambulatoire du Val d'Ay;Satillieu
EMV SDIS;Massy
Rodez ;Rodez
Centre de vaccination de Marguerittes;Marguerittes
EMV Centre de santé Bauchat-Nation;Paris
Centre de vaccination de Garges-lès-Gonesse;Garges-lès-Gonesse
antenne MSP Ambierle ;Ambierle
Centre de vaccination de Camaret - Maison pour tous;Camaret-sur-Aigues
Centre de vaccination de Châtellerault;Châtellerault
EMV Centre de vaccination Bertheau;Paris
Villefrance-De-Rouergue;Villefranche-de-Rouergue
Salle des fêtes « Jean Feugereux » - CV éphémère villages vovéens;Les Villages Vovéens
EMV Centre gérontologique Henry Dunant;Paris
EMV Centre médical de l'Institut Pasteur ;Paris
EMV Gymnase Bourneville Kellermann du 13ème arrondissement;Paris
Maison de santé pluridisciplinaire de Vergt;Vergt
Centre de Carignan;Carignan
Centre de vaccination de Bitche - Hôpital Saint Joseph;Bitche
EMV Mairie du 14ème - Centre COVISAN 13-14;Paris
EMV - Centres Ephémères QPV;Paris
CH Albi;Albi
CV du CIHL;Orléans
Grand centre 89;Auxerre
Complexe Martin Luther King;Annemasse
Centre de vaccination de Saint-Amour;Saint-Amour
Equipe Mobile Précarité 78;Meulan-en-Yvelines
EMV Centre de santé Edmond de Rothschild;Paris
Centre de Vaccination - CENON;Cenon
EMV CV territorial du Haut Val d'Oise;L'Isle-Adam
PLOUFRAGAN - Espace des sciences;Ploufragan
MSP Prayssac;Prayssac
MSP Signy-le-Petit;Signy-le-Petit
Complexe Saint-Exupéry Gymnase Coubertin;Draguignan
GENLIS - Mairie;Genlis
PONT L'ABBE - Salle omnisports Kerarthur;Pont-l'Abbé
Equipe mobile - Centre de santé VAL CONSULT;Saint-Mandé
Opération Cité Universitaire;Paris
EMV Le 104;Paris
GHEF-Site de Jossigny;Jossigny
CH de Versailles  Site André Mignot;Le Chesnay-Rocquencourt
CD Lamartine;Nevers
FTM Évry Tarterets;Corbeil-Essonnes
Salle polyvalente du CHI Fréjus St Raphaël - site Bonnet;Fréjus
CHU POITIERS - Site de MONTMORILLON;Montmorillon
Centre Hygée au CHU de Saint-Etienne;Saint-Priest-en-Jarez
Centre de vaccination éphémère Palmiste Rouge CILAOS;Cilaos
EMV Domicile Opalia;Sarcelles
EMV Domicile COORDINOV;Osny
EMV Lagny;Lagny-sur-Marne
EMV Domicile Joséphine;Soisy-sous-Montmorency
Vacci-Drive Gare Fleury-les-Aubrais;Fleury-les-Aubrais
vaccinobus;Longvic
EMV La Croix Rouge française;Sevran
EMV Domicile Vexin Pean;Auvers-sur-Oise
Centre de Vaccination Croix-Rouge;Cayenne
Opération Vaccivélo République;Paris
EMV Romainville;Romainville
Centre de vaccination de Rémilly;Rémilly
Centre de vaccination COVID 19 : Site de Grand Ilet;Case de Grand-Ilet (Salazie)
Centre de Vaccination éphémère EMV Conseil Départemental 77;Melun
Site de Bois-Guillaume;Bois-Guillaume
Grigny CVAE;Grigny
Centre de vaccination de l'Hôpital de Beaujeu;Beaujeu
Centre de vaccination GHSIF - Site de Tournan-en-Brie;Tournan-en-Brie
antenne MSP St Bonnet le Courreau ;Saint-Bonnet-le-Courreau
Centre de vaccination - MONTVAL SUR LOIR;Montval-sur-Loir
CP - US SAINT QUENTIN FALLAVIER / Etablissement spécialisé pour mineurs du Rhône;Meyzieu
"Toury Salle polyvalente éphémère ""grand public""";Toury
MA - US / Maison d'Arrêt de Lons-le-Saunier;Lons-le-Saunier
EMV CV territorial Centre Val d'Oise;Enghien-les-Bains
Centre de Vaccination - REZE - Trocardière;Rezé
EMV-Montreuil;Montreuil
POLYCLINIQUE INKERMANN;Niort
Centre de vaccination Salle Jean Ferrat;Migennes
CV/EMV - Bobigny;Bobigny
CH Gisors;Gisors
Centre vaccination LE CREUSOT - Maison des Associations Guynemer;Le Creusot
MA - Maison d'arrêt Laval / Maison d'Arrêt de Laval;Laval
EMV CV Victor Dupouy;Argenteuil
CH du Gier Antenne rive de gier;Rive-de-Gier
Relai ambulatoire des 3 rivières Ruoms;Ruoms
Equipe mobile vaccination du Tour de France;Brest
Centre Multi Services de Langevin;Saint-Joseph
CENTRE OLERON;Saint-Pierre-d'Oléron
Centre de vaccination éphémère Basse Vallée St-Philippe;Saint-Philippe
Brest - Haut Jaurès;Brest
Centre de vaccination du Centre d'examens de santé - Vesoul;Vesoul
Test_sauve_mon_vaccin2;Marseille
Vaccinobus du Vaucluse;Avignon
Centre de vaccination COVID Ad Hoc - Le Bourget du Lac;Le Bourget-du-Lac
MA - MAISON D'ARRET DE BOURGES / Maison d'Arrêt de Bourges;Bourges
CP - US Centre Pénitentiaire d'Annoeullin / Centre Pénitentiaire de Lille-Loos-Sequedin;Sequedin
MA - US Maison d'arrêt de DUNKERQUE / Maison d'Arrêt de Dunkerque;Dunkerque
Centre de vaccination CHU-Nord ;Saint-Denis
Centre de vaccination GIVRY -  Maison médicale;Givry
Centre de vaccination - Communauté de communes de Desvres -Samer;Desvres
Centre de vaccination d'Ingrandes;Ingrandes
Relai Ambulatoire de Vaccination - Chindrieux;Chindrieux
Centre de vaccination des Combrailles - Maison de santé de Giat;Giat
Test_sauve_mon_vaccin3;Marseille
CP - Unité Sanitaire (USS + DSP) du Centre Pénitentiaire Sud Francilien / Centre de Détention de Melun;Melun
Equipe mobile du département de la Haute-Savoie;Annecy
CD - US BAPAUME / Maison d'Arrêt d'Arras;Arras
MA - US le mans / Maison d'arret du Mans - Les Croisettes;Coulaines
Equipe mobile salle communale;La Motte-Chalancon
CDV31 Villefranche de Lauragais;Villefranche-de-Lauragais
Centre de vaccination de Schiltigheim ;Schiltigheim
Centre de vaccination de Mirecourt;Mirecourt
Centre de vaccination éphémère de Terre de Haut;Terre-de-Haut
MC - US Saint Martin de Ré / Maison Centrale de Saint-Martin-de-Ré;Saint-Martin-de-Ré
Centre de vaccination de Monein;Monein
BREST - CHU Site Morvan (réservé PS);Brest
Centre de vaccination Guy Cornély II (Raizet-ABYMES);Les Abymes
Centre de vaccination éphémère  de Varennes Sur Seine ;Varennes-sur-Seine
CD - US Uzerche / Centre de détention d'Uzerche;Tulle
Centre de vaccination - Commune de Gouvieux,  Gymnase municipal;Gouvieux
CP - US de Poitiers-Vivonne / Centre Pénitentiaire de Poitiers-Vivonne;Vivonne
CDV31 SDIS Colomiers;Colomiers
Centre de vaccination de Mercy - MHRMT Maison des usagers (niveau 2 zone A);Ars-Laquenexy
EMV- Mairie du 20e - Centre COVISAN 20;Paris
Grand Centre Niort (en cours de déclaration);Niort
QUIMPER CHIC Site hôpital Laënnec (réservé PS);Quimper
BEZIERS CENTRE HOSPITALIER ASTRAZENECA;Béziers
Centre de vaccination du SDIS PROGT;Matoury
Centre de vaccination - CH de Tourcoing, Salle de fêtes, Mairie de Tourcoing;Tourcoing
Centre de vaccination - SEICHES SUR LE LOIR - Hall de sport;Seiches-sur-le-Loir
Communauté professionnelle territoriale de santé (CPTS) Sud est Grenoblois - Salle des fêtes;Eybens
MONTPELLIER- CHU MONTPELLIER LAPEYRONIE- ASTRAZENECA;Montpellier
Centre de vaccination - La Madeleine, Espace Malraux;La Madeleine
Parc des expositions Jura Parc;Montmorot
Relai ambulatoire de Vallon Pont d'Arc;Vallon-Pont-d'Arc
DIJON Stade Gaston Gérard (au dessus de la boutique DFCO );Dijon
Centre de vaccination éphémère - Rians Sainte Solange;Sainte-Solange
Centre de vaccination de SAMOENS -;Samoëns
Centre de vaccination -ANET éphémère;Anet
GUINGAMP - Centre social;Guingamp
EMV CH André Grégoire;Montreuil
Vaccibus SDIS;Tours
Relai ambulatoire de La Voulte;La Voulte-sur-Rhône
Centre de vaccination du centre hospitalier de Billom;Billom
MONTPELLIER CHU Montpellier Centre Antonin Balmès;Montpellier
Centre de vaccination - Egletons;Égletons
Centre de vaccination éphémère de La Ville aux Clercs;La Ville-aux-Clercs
Centre de vaccination - en attente (36);Châteauroux
Centre de Vaccination ambulatoire Chevilly-Larue;Chevilly-Larue
Centre de vaccination COVID 19 : Site de Salazie Village;Salazie
LOUDEAC - Foyer municipal;Loudéac
UHSI PITIE SALPETRIERE;Paris
Centre de vaccination -  Salle de sport Vincent GERNIGON;Roubaix
CDV31 Toulouse Barcelone;Toulouse
PLEUMEUR-BODOU - Phoenix (ancien CDV de Lannion);Pleumeur-Bodou
LORIENT - Bâtiment Onc'Oriant (GHBS);Lorient
UHSA - ORLEANS;FLEURY LES AUBRAIS
Equipe Mobile Vaccination Cantal - SDIS 15;Aurillac
Centre examen de santé CPAM;Périgueux
Centre Hospitalier de PAU;Pau
Centre de vaccination de la communauté professionnelle territoriale de santé de Venissieux -  Salle communale Irène Joliot-Curie;Vénissieux
Centre de vaccination éphémère de La Désirade;La Désirade
Centre de vaccination de MONTHERME;Monthermé
Centre de vaccination COVID du Grand Chambéry;CHALLES LES EAUX
Centre de vaccination d'Annonay;Annonay
Lieu de vaccination de ST-MIHIEL (Palais Abbatial);Saint-Mihiel
UHSA - VILLEJUIF;Villejuif
Centre de vaccination covid 19 SDIS Manche;Saint-Lô
Centre de vaccination - MSP Vermenton;Vermenton
Ville de Levallois-Perret;Levallois-Perret
CP - centre pénitentiaire de Mont de Marsan / Centre Pénitentiaire de Mont-De-Marsan;Mont-de-Marsan
Droué Centre éphémère;Droué
Cressesac;Cressensac-Sarrazac
CV éphémère Cléry-Saint-André;Cléry-Saint-André
Centre de vaccination de Baume les Dames;Baume-les-Dames
MSP Lalbenque;Lalbenque
Lieu de vaccination de GONDRECOURT - MSP;Gondrecourt-le-Château
Site Duclair - salle des hallettes;Duclair
Point de vaccination Saint-Aignan;Saint-Aignan
ST-MALO - CH (enfants);Saint-Malo
Centre de vaccination de Gerardmer ;Gérardmer
Centre de vaccination d'Epinal (Allée des Chênes));Épinal
Centre de vaccination - MSP AUXI-LE-CHATEAU;Auxi-le-Château
Centre de vaccination CPAM78;Poissy
Grand centre - en attente (28);Chartres
QUIMPERLE - Hôpital de Villeneuve (GHBS) (réservé aux professionnels des secteurs de la santé et du médico-social);Quimperlé
Centre de Vaccination éphémère de Tournon sur Rhone;Tournon-sur-Rhône
Savigny Sur Braye centre éphémère;Savigny-sur-Braye
MA - USMP de Fontenay-le-Comte / Maison d'Arrêt de Fontenay-le-Comte;Fontenay-le-Comte
Centre de vaccination de Nancy - Salle des fêtes de Gentilly;Nancy
Centre de Vaccination Ambulatoire de VILLENEUVE LE ROI;Villeneuve-le-Roi
Centre de vaccination de CAP PERIAZ ANNECY;Annecy
Centre de vaccination de Saint- Claude ;Saint-Claude
Centre de PMI et de planification Nice-Lyautey;Nice
Centre de vaccination - Commune D'AVION, Salle des sports Roger Blézel;Avion
CENTRE HOSPITALIER VALS D'ARDECHE - Bâtiment Esperanto 1er étage;Privas
Centre de vaccination MONTCEAU LES MINES - Salle l'Embarcadère;Montceau-les-Mines
PLEUMEUR BODOU - opérations éphémères SDIS (obsolète);Pleumeur-Bodou
Centre de vaccination éphémère de Senantes;Senantes
MORLAIX - CH (réservé PS);Morlaix
MSP relai Mehun sur Yèvre;Mehun-sur-Yèvre
Centre de vaccination COVID Ad Hoc d'Ugine;Ugine
Centre de vaccination Courboulay - Jean Moulin;Le Mans
Centre de vaccination COVID Ad Hoc de Sainte-Hélène-sur-Isère;Sainte-Hélène-sur-Isère
Vaccinobus Jura;Lons-le-Saunier
CV mobile -Dordogne- SDIS/CD;Boulazac Isle Manoire
Centre de vaccination - SDIS62, Vaccinodrome de Liévin, Stade Aréna;Liévin
Centre de Vaccination - CH Vauclaire;Montpon-Ménestérol
Centre de Vaccination éphémère Torcy;Torcy
Centre de vaccination Covid-19 - Sapeurs Pompiers 40;Mont-de-Marsan
Centre de vaccination - St HERBLAIN - Complexe du Vigneau;Saint-Herblain
CHANTEPIE - EDEFS;Chantepie
Centre de vaccination COVID Ad Hoc de La Bâthie;La Bâthie
Centre de vaccination de Cerizay - CPTS du Bressuirais;Cerizay
CDV31 Equipe mobile ADIMEP;Toulouse
CP - US US-SMPR-CSAPA CPM Baumettes / Etablissement spécialisé pour mineurs de Marseille;Marseille
SARZEAU - Médiathèque;Sarzeau
Centre de vaccination éphémère de PEYREHORADE;Saint-Lon-les-Mines
Centre de vaccination - Le Carreau;Cergy
Test_sauve mon vaccin;Marseille
Relai ambulatoire de vaccination - CDS Fosses;Fosses
Maison de santé pluridisciplinaire D'Eymet;Eymet
Centre de vaccination COVID Ad Hoc de Challes-les-Eaux;Challes-les-Eaux
Société Delpharm;Saint-Rémy-sur-Avre
Centre de vaccination COVID Ad Hoc de COGNIN;Cognin
CV éphémère - Avord;Avord
DAC 92 Nord;Gennevilliers
Grand Centre SDIS OZOIR-LA-FERRIERE;Ozoir-la-Ferrière
MSP relai Sancergues;Sancergues
Espace santé des Valmeux;Vernon
CHR Orléans La Source - Point bleu;Orléans
Equipe mobile du CDHS;Lyon
DAC 92 SUD;Clamart
CP - US / Centre Pénitentiaire de Metz;Metz
Centre de vaccination Castillon-Pujols;Castillon-la-Bataille
Centre de vaccination COVID 19 : Site du Port;Le Port
CV éphémère de la Ferté-Saint-Aubin;La Ferté-Saint-Aubin
Centre de Vaccination Arinthod;Arinthod
DAC 92 Centre;Suresnes
Centre de vaccination Saint-Vit;Saint-Vit
Centre de vaccination Protection Civile 87;Boisseuil
Communauté de communes Haute Vallée de Chevreuse;Saint-Rémy-lès-Chevreuse
CV éphémère - Touchay-sur-Lignières;Touchay
Centre de vaccination COVID Ad Hoc de Lescheraines;Lescheraines
Grand centre - en attente (36);Châteauroux
CV éphémère - Mehun-sur-Yèvre;Mehun-sur-Yèvre
CV éphémère - Saint-Florent-sur-Cher;Saint-Florent-sur-Cher
Salle omnisport LECTOURE;Lectoure
Centre de vaccination - Lubersac;Lubersac
Centre de vaccination éphémère de Mainvilliers;Mainvilliers
Centre de vaccination du SDIS- CHAURAY ;Chauray
Grand Bourgtheroulde - salle du PERREY;Grand Bourgtheroulde
Centre de vaccination EDF (41);Blois
Allemagne;Berlin
CHRU de Tours - Site de Trousseau - réservé aux professionnels en exercice;Chambray-lès-Tours
Centre de vaccination du CH de Haguenau;Haguenau
CENTRE DE VACCINATION - VILLE DE LIMOGES;Limoges
Centre vaccination campus de l'espace (Gymnase Mexico);Vernon
Opérations exceptionnelles;Vesoul
Centre vaccination Gréoux - Salle des Roches Bleues;Gréoux-les-Bains
